word,pathway_type,video_id
Abend,Pathway 2,19
englisch,Pathway 1,445
englisch,Pathway 1,446
Museum,Pathway 2,1329
ausbilden,Pathway 2,321
Bemerken,Pathway 3,1449
eintreten,Pathway 3,969
erlauben,Pathway 1,975
erlauben,Pathway 1,977
erlauben,Pathway 1,1350
finnisch,Pathway 3,863
freigelassen,Pathway 1,235
freigelassen,Pathway 1,369
helfen,Pathway 1,630
helfen,Pathway 1,843
Mauer,Pathway 1,1404
Mauer,Pathway 1,1459
Vorbereitung,Pathway 2,345
Westen,Pathway 3,285
Behandlung,Pathway 1,999
Behandlung,Pathway 1,637
Entscheidung,Pathway 3,1337
Frechheit,Pathway 2,149
Mut,Pathway 3,256
Seminar,Pathway 3,321
Tier,Pathway 2,133
aufkommen,No Match,
locker,No Match,
