meaning,video_id
"(Tageszeit) Abend, abends: Zeitraum am Ende des Tages und vor oder zu Beginn der Nacht; vor allem als Zeitangabe oder Bestandteil einer Zeitangabe verwendet.",19
"(Veranstaltung) Abend: Zeitraum am Abend, an dem man mit anderen Menschen zu einer Aktivität, zu einem Zweck oder aus einem Anlass zusammenkommt, zum Beispiel eine gesellschaftliche Feier, eine Informationsveranstaltung oder ein Spieleabend",19
"(Tagszeit) Nacht, nachts: Zeit zwischen Abend und Morgen oder zwischen Sonnenuntergang und Aufgang, in der es normalerweise dunkel ist und man schläft; vor allem als Zeitangabe oder Bestandteil einer Zeitangabe verwendet",19
"(Sprache) Englisch: Gebärde für die englische Sprache oder englischsprachig, z.B. englische Untertitel, Bücher",445
"(Schulfach) Englisch: Schulfach, in dem die englische Sprache sowie die Literatur und Kultur englischsprachiger Länder (z.B. Großbritannien, USA) unterrichtet wird",445
"(Land) England: England und zu England gehörig; Bezeichnung für einen Teil der britischen Inseln; wird häufig für das ganze Staatsgebiet Großbritanniens und als Ortsangabe, z.B. in England, benutzt",445
"(Person) Engländer, Engländerin: Person, die aus England stammt; wird häufig verallgemeinernd für alle Einwohner Großbritanniens benutzt",445
"(Sprache) Englisch: Gebärde für die englische Sprache oder englischsprachig, z.B. englische Untertitel, Bücher",446
"(Schulfach) Englisch: Schulfach, in dem die englische Sprache sowie die Literatur und Kultur englischsprachiger Länder (z.B. Großbritannien, USA) unterrichtet wird",446
"(Land) England: England und zu England gehörig; Bezeichnung für einen Teil der britischen Inseln; wird häufig für das ganze Staatsgebiet Großbritanniens und als Ortsangabe, z.B. in England, benutzt",446
"(Person) Engländer, Engländerin: Person, die aus England stammt; wird häufig verallgemeinernd für alle Einwohner Großbritanniens benutzt",446
Ausstellung,1329
Messe (Ausstellung),1329
Museum,1329
