meaning,video_id
"(Tageszeit) Abend, abends",19
(Veranstaltung) Abend,19
"(Tagszeit) Nacht, nachts",19
(Sprache) Englisch,445
(Schulfach) Englisch,445
(Land) England,445
"(Person) Engländer, Engländerin",445
(Sprache) Englisch,446
(Schulfach) Englisch,446
(Land) England,446
"(Person) Engländer, Engländerin",446
Ausstellung,1329
Messe (Ausstellung),1329
Museum,1329
"unterrichten, lehren, ausbilden, Unterricht",321
"(Inhalte, Methode) Unterricht, Unterrichtsstoff, Lerninhalte",321
"Kurs, Seminar, Schulung",321
"(Beruf, Person) Lehrer, Lehrerin",321
"(Beruf, Person) Pädagoge, Pädagogin",321
September,321
fühlen,1449
Material,1449
"merken (spüren, bemerken)",1449
Seide,1449
spüren,1449
"Stoff (Textil, Gewebe)",1449
"Werkstoff, Material",1449
eine Karriere- oder Ausbildungsstufe erreichen,969
"Teil einer Gruppe werden, dabei sein",969
"(Verein, Verband) eintreten",969
in ein Fahrzeug einsteigen,969
darf,975
erlauben,975
anerkennen,977
erlauben,977
"Gegenteil zu: illegal, inoffiziell, unter der Hand",977
dürfen,1350
erlauben,1350
(Land) Finnland,863
"(Person) Finne, Finnin",863
(Sprache) Finnisch,863
"gratis, kostenlos",369
"zur Verfügung stehend, unbesetzt",369
(Freizeit) frei haben,369
(Arbeit) Urlaubstage,369
Urlaub,369
"frei von, ohne",369
"(Gefühl) frei, selbstbestimmt",369
politisch frei,369
"(Haft, Gefangenschaft, Strafe) entlassen werden, freikommen",369
wild,235
"(Haft, Gefangenschaft, Strafe) entlassen werden, freikommen",235
befreien,235
demokratie,235
Beihilfe,843
(Arbeit und Teilhabe) Assistenz,843
"unterstützen, zur Seite stehen",843
"(konkret) helfen, mitarbeiten",843
"(konkret) helfen, mitarbeiten",630
finanzieller Zuschuss,630
"dafür sein, sich einsetzen",630
Gerät oder Hilfsmittel zur Verbesserung,630
Berliner Mauer,1404
(Bauwerk) Mauer,1404
begrenzen,1459
Mauer,1459
(Beschaffenheit) Technik,345
Elektronik,345
"(Art und Weise, Ausführung) Technik, Methode",345
"(Konzept, Festlegung) Plan, planen",345
Politik,345
"(Beruf) Politiker, Politikerin",345
Vorbereitung,345
"schwierige Situation, Problem",345
(politisch) Westdeutschland,285
(Geografie) westliche Regionen,285
(Himmelsrichtung) Westen,285
(politisch) westliche Welt,285
"sich unterhalten, austauschen",637
(Sache) tauschen,637
"(Sache) ersetzen, austauschen",637
"(Geld) wechseln, tauschen",637
Handel treiben,637
"mit Menschen umgehen, jmd. behandeln",637
"(Medizin) behandeln, Behandlung",637
Umgang,999
umgehen,999
"mit Menschen umgehen, jmd. behandeln",999
entscheiden,1377
"(Verhalten) frech, respektlos, unverschämt",149
"(Verhalten) gemein, unfair, Gemeinheit",149
(Land) USA,149
selbstbewusst,256
"mutig, kühn",256
sich einen Ruck geben,256
sich trauen,256
(Lebewesen) Tier,133
(Stadt) Trier,133
(Tier) Wolf,133
(Tier) Löwe,133
(Stadt) Wolfsburg,133
"(Kinder) spielen, toben",763
"entspannt, locker",763
"nicht streng, locker",763
"aufgeschlossen, tolerant",690
"locker, gelassen sein",690
(Stadtteil Berlin) Charlottenburg,690
"(Leistung, Ware) bezahlen",126
"(Kosten übernehmen) bezahlen, finanzieren",126
"(Kosten übernehmen) bezahlen, finanzieren",717
bezahlen,717
